X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-6.586205e+00 -2.184869e-01 -5.765352e-01 3.581000e+02 -5 6.615000e+00 63 7.1037530900e+02
-4.777896e+00 -1.584991e-01 9.292398e-01 3.581000e+02 11 4.870000e+00 72 7.1037530900e+02
-4.396862e+00 -1.458589e-01 1.015654e+00 3.581000e+02 13 4.515000e+00 100 7.1037530900e+02
-8.254125e+00 -2.738175e-01 2.212903e+00 3.581000e+02 15 8.550000e+00 86 7.1037530900e+02
-1.008938e+00 -3.029707e-02 -2.704659e-01 3.582800e+02 -15 1.045000e+00 12 7.1037530900e+02
-6.820886e+00 -2.048222e-01 1.191127e-01 3.582800e+02 1 6.825000e+00 154 7.1037530900e+02
-6.857494e+00 -2.059215e-01 3.595480e-01 3.582800e+02 3 6.870000e+00 144 7.1037530900e+02
-6.930391e+00 -2.081105e-01 6.066040e-01 3.582800e+02 5 6.960000e+00 123 7.1037530900e+02
-5.689687e+00 -1.708538e-01 6.989207e-01 3.582800e+02 7 5.735000e+00 97 7.1037530900e+02
-4.832556e+00 -1.451153e-01 7.657467e-01 3.582800e+02 9 4.895000e+00 95 7.1037530900e+02
-6.629178e+00 -1.990655e-01 -5.802394e-01 3.582800e+02 -5 6.657500e+00 69 7.1037530900e+02
-4.486468e+00 -1.347227e-01 8.724741e-01 3.582800e+02 11 4.572500e+00 81 7.1037530900e+02
-4.407038e+00 -1.323376e-01 1.017904e+00 3.582800e+02 13 4.525000e+00 100 7.1037530900e+02
-8.182533e+00 -2.457107e-01 2.193491e+00 3.582800e+02 15 8.475000e+00 76 7.1037530900e+02
-1.018684e+00 -2.738685e-02 -2.730541e-01 3.584600e+02 -15 1.055000e+00 13 7.1037530900e+02
-6.858107e+00 -1.843771e-01 3.595480e-01 3.584600e+02 3 6.870000e+00 146 7.1037530900e+02
-6.928521e+00 -1.862701e-01 6.063861e-01 3.584600e+02 5 6.957500e+00 139 7.1037530900e+02
-4.484954e+00 -1.205759e-01 7.106036e-01 3.584600e+02 9 4.542500e+00 109 7.1037530900e+02
-6.669604e+00 -1.793093e-01 -5.837256e-01 3.584600e+02 -5 6.697500e+00 63 7.1037530900e+02
-4.481963e+00 -1.204955e-01 8.715201e-01 3.584600e+02 11 4.567500e+00 75 7.1037530900e+02
-6.668436e+00 -1.792779e-01 -3.496042e-01 3.584600e+02 -3 6.680000e+00 165 7.1037530900e+02
-4.414737e+00 -1.186882e-01 1.019591e+00 3.584600e+02 13 4.532500e+00 95 7.1037530900e+02
-6.534542e+00 -1.756782e-01 1.751558e+00 3.584600e+02 15 6.767500e+00 93 7.1037530900e+02
-1.028421e+00 -2.441568e-02 -2.756423e-01 3.586400e+02 -15 1.065000e+00 11 7.1037530900e+02
-6.804546e+00 -1.615463e-01 1.188073e-01 3.586400e+02 1 6.807500e+00 152 7.1037530900e+02
-4.794567e+00 -1.138275e-01 2.513434e-01 3.586400e+02 3 4.802500e+00 162 7.1037530900e+02
-6.958950e+00 -1.652120e-01 6.090008e-01 3.586400e+02 5 6.987500e+00 140 7.1037530900e+02
-4.455688e+00 -1.057822e-01 7.059105e-01 3.586400e+02 9 4.512500e+00 96 7.1037530900e+02
-6.722420e+00 -1.595965e-01 -5.883013e-01 3.586400e+02 -5 6.750000e+00 55 7.1037530900e+02
-4.474959e+00 -1.062397e-01 8.700890e-01 3.586400e+02 11 4.560000e+00 106 7.1037530900e+02
-6.713892e+00 -1.593941e-01 -3.519593e-01 3.586400e+02 -3 6.725000e+00 161 7.1037530900e+02
-4.427264e+00 -1.051074e-01 1.022403e+00 3.586400e+02 13 4.545000e+00 81 7.1037530900e+02
-6.860970e+00 -1.628858e-01 1.838909e+00 3.586400e+02 15 7.105000e+00 86 7.1037530900e+02
-1.035736e+00 -2.133388e-02 -2.775834e-01 3.588200e+02 -15 1.072500e+00 10 7.1037530900e+02
-6.840007e+00 -1.408891e-01 1.194181e-01 3.588200e+02 1 6.842500e+00 154 7.1037530900e+02
-4.804885e+00 -9.897006e-02 2.518668e-01 3.588200e+02 3 4.812500e+00 164 7.1037530900e+02
-7.029153e+00 -1.447851e-01 6.151017e-01 3.588200e+02 5 7.057500e+00 143 7.1037530900e+02
-4.475748e+00 -9.219055e-02 7.090392e-01 3.588200e+02 9 4.532500e+00 89 7.1037530900e+02
-6.780157e+00 -1.396563e-01 -5.933127e-01 3.588200e+02 -5 6.807500e+00 43 7.1037530900e+02
-4.463003e+00 -9.192803e-02 8.677039e-01 3.588200e+02 11 4.547500e+00 123 7.1037530900e+02
-6.771768e+00 -1.394835e-01 -3.549686e-01 3.588200e+02 -3 6.782500e+00 161 7.1037530900e+02
-4.422702e+00 -9.109792e-02 1.021278e+00 3.588200e+02 13 4.540000e+00 71 7.1037530900e+02
-7.213936e+00 -1.485912e-01 1.933378e+00 3.588200e+02 15 7.470000e+00 98 7.1037530900e+02
-1.040627e+00 -1.816420e-02 -2.788775e-01 359 -15 1.077500e+00 11 7.1037530900e+02
-6.845414e+00 -1.194872e-01 1.195054e-01 359 1 6.847500e+00 157 7.1037530900e+02
-4.822646e+00 -8.417960e-02 2.527827e-01 359 3 4.830000e+00 164 7.1037530900e+02
-7.024593e+00 -1.226147e-01 6.146659e-01 359 5 7.052500e+00 143 7.1037530900e+02
-6.443124e+00 -1.124652e-01 7.912367e-01 359 7 6.492500e+00 139 7.1037530900e+02
-4.485891e+00 -7.830152e-02 7.106036e-01 359 9 4.542500e+00 83 7.1037530900e+02
-6.827875e+00 -1.191810e-01 -5.974526e-01 359 -5 6.855000e+00 31 7.1037530900e+02
-4.451001e+00 -7.769252e-02 8.653188e-01 359 11 4.535000e+00 118 7.1037530900e+02
-6.819601e+00 -1.190366e-01 -3.574546e-01 359 -3 6.830000e+00 154 7.1037530900e+02
-7.214367e+00 -1.259272e-01 1.933378e+00 359 15 7.470000e+00 82 7.1037530900e+02
-1.045508e+00 -1.496401e-02 -2.801716e-01 3.591800e+02 -15 1.082500e+00 12 7.1037530900e+02
-6.875748e+00 -9.841037e-02 1.200289e-01 3.591800e+02 1 6.877500e+00 159 7.1037530900e+02
-4.857835e+00 -6.952863e-02 2.546144e-01 3.591800e+02 3 4.865000e+00 153 7.1037530900e+02
-6.835686e+00 -9.783697e-02 5.981063e-01 3.591800e+02 5 6.862500e+00 135 7.1037530900e+02
-6.450889e+00 -9.232950e-02 7.921507e-01 3.591800e+02 7 6.500000e+00 139 7.1037530900e+02
-6.873039e+00 -9.837159e-02 -6.013746e-01 3.591800e+02 -5 6.900000e+00 43 7.1037530900e+02
-4.453677e+00 -6.374404e-02 8.657958e-01 3.591800e+02 11 4.537500e+00 116 7.1037530900e+02
-6.877357e+00 -9.843338e-02 -3.604639e-01 3.591800e+02 -3 6.887500e+00 142 7.1037530900e+02
-6.854956e+00 -9.811278e-02 1.836968e+00 3.591800e+02 15 7.097500e+00 87 7.1037530900e+02
-1.055208e+00 -1.178728e-02 -2.827598e-01 3.593600e+02 -15 1.092500e+00 14 7.1037530900e+02
-6.893520e+00 -7.700456e-02 1.203343e-01 3.593600e+02 1 6.895000e+00 162 7.1037530900e+02
-4.912951e+00 -5.488047e-02 2.574929e-01 3.593600e+02 3 4.920000e+00 153 7.1037530900e+02
-4.483825e+00 -5.008689e-02 7.102125e-01 3.593600e+02 9 4.540000e+00 112 7.1037530900e+02
-6.908179e+00 -7.716831e-02 -6.044251e-01 3.593600e+02 -5 6.935000e+00 49 7.1037530900e+02
-6.907589e+00 -7.716172e-02 -3.620340e-01 3.593600e+02 -3 6.917500e+00 140 7.1037530900e+02
-5.083908e+00 -5.679016e-02 -8.874549e-02 3.593600e+02 -1 5.085000e+00 146 7.1037530900e+02
-6.869719e+00 -7.673869e-02 1.840850e+00 3.593600e+02 15 7.112500e+00 83 7.1037530900e+02
-1.067314e+00 -8.569127e-03 -2.859950e-01 3.595400e+02 -15 1.105000e+00 14 7.1037530900e+02
-6.551291e+00 -5.259826e-02 1.143569e-01 3.595400e+02 1 6.552500e+00 163 7.1037530900e+02
-4.483961e+00 -3.600032e-02 7.102125e-01 3.595400e+02 9 4.540000e+00 116 7.1037530900e+02
-6.943253e+00 -5.574521e-02 -6.074755e-01 3.595400e+02 -5 6.970000e+00 60 7.1037530900e+02
-6.952734e+00 -5.582133e-02 -3.643891e-01 3.595400e+02 -3 6.962500e+00 134 7.1037530900e+02
-5.084062e+00 -4.081834e-02 -8.874549e-02 3.595400e+02 -1 5.085000e+00 148 7.1037530900e+02
-6.879585e+00 -5.523403e-02 1.843439e+00 3.595400e+02 15 7.122500e+00 75 7.1037530900e+02
-1.079409e+00 -5.275031e-03 -2.892303e-01 3.597200e+02 -15 1.117500e+00 18 7.1037530900e+02
-6.966356e+00 -3.404431e-02 1.215996e-01 3.597200e+02 1 6.967500e+00 166 7.1037530900e+02
-5.053137e+00 -2.469448e-02 4.420975e-01 3.597200e+02 5 5.072500e+00 120 7.1037530900e+02
-4.449483e+00 -2.174445e-02 7.047373e-01 3.597200e+02 9 4.505000e+00 108 7.1037530900e+02
-6.973280e+00 -3.407814e-02 -6.100902e-01 3.597200e+02 -5 7 49 7.1037530900e+02
-6.992820e+00 -3.417364e-02 -3.664825e-01 3.597200e+02 -3 7.002500e+00 131 7.1037530900e+02
-7.066339e+00 -3.453292e-02 -1.233449e-01 3.597200e+02 -1 7.067500e+00 163 7.1037530900e+02
-6.430574e+00 -3.142597e-02 1.723088e+00 3.597200e+02 15 6.657500e+00 73 7.1037530900e+02
-1.089080e+00 -1.520644e-03 -2.918185e-01 3.599200e+02 -15 1.127500e+00 18 7.1037530900e+02
-6.988929e+00 -9.758392e-03 1.219923e-01 3.599200e+02 1 6.990000e+00 168 7.1037530900e+02
-5.053193e+00 -7.055593e-03 4.420975e-01 3.599200e+02 5 5.072500e+00 93 7.1037530900e+02
-4.439655e+00 -6.198931e-03 7.031729e-01 3.599200e+02 9 4.495000e+00 109 7.1037530900e+02
-7.003242e+00 -9.778377e-03 -6.127049e-01 3.599200e+02 -5 7.030000e+00 41 7.1037530900e+02
-7.025352e+00 -9.809248e-03 -3.681835e-01 3.599200e+02 -3 7.035000e+00 129 7.1037530900e+02
-6.248142e+00 -8.724058e-03 1.442499e+00 3.599200e+02 13 6.412500e+00 106 7.1037530900e+02
-7.076415e+00 -9.880546e-03 -1.235194e-01 3.599200e+02 -1 7.077500e+00 166 7.1037530900e+02
-6.628660e+00 -9.255361e-03 1.776146e+00 3.599200e+02 15 6.862500e+00 84 7.1037530900e+02
-1.098740e+00 1.534131e-03 -2.944067e-01 8.000000e-02 -15 1.137500e+00 18 7.1037530900e+02
-7.023923e+00 9.807253e-03 1.226032e-01 8.000000e-02 1 7.025000e+00 168 7.1037530900e+02
-5.020605e+00 7.010092e-03 2.631190e-01 8.000000e-02 3 5.027500e+00 152 7.1037530900e+02
-6.965186e+00 9.725240e-03 8.552181e-01 8.000000e-02 7 7.017500e+00 132 7.1037530900e+02
-4.422370e+00 6.174798e-03 7.004353e-01 8.000000e-02 9 4.477500e+00 108 7.1037530900e+02
-7.035618e+00 9.823583e-03 -6.155374e-01 8.000000e-02 -5 7.062500e+00 47 7.1037530900e+02
-7.057807e+00 9.854565e-03 -3.698844e-01 8.000000e-02 -3 7.067500e+00 131 7.1037530900e+02
-6.248142e+00 8.724058e-03 1.442499e+00 8.000000e-02 13 6.412500e+00 80 7.1037530900e+02
-7.088913e+00 9.897997e-03 -1.237376e-01 8.000000e-02 -1 7.090000e+00 168 7.1037530900e+02
-6.230216e+00 8.699028e-03 1.669383e+00 8.000000e-02 15 6.450000e+00 75 7.1037530900e+02
-1.105974e+00 5.018784e-03 -2.963478e-01 2.600000e-01 -15 1.145000e+00 20 7.1037530900e+02
-7.043854e+00 3.196422e-02 1.229522e-01 2.600000e-01 1 7.045000e+00 171 7.1037530900e+02
-5.045524e+00 2.289602e-02 2.644274e-01 2.600000e-01 3 5.052500e+00 146 7.1037530900e+02
-5.618480e+00 2.549603e-02 4.915584e-01 2.600000e-01 5 5.640000e+00 107 7.1037530900e+02
-6.895643e+00 3.129165e-02 8.466873e-01 2.600000e-01 7 6.947500e+00 135 7.1037530900e+02
-4.427267e+00 2.009044e-02 7.012175e-01 2.600000e-01 9 4.482500e+00 109 7.1037530900e+02
-7.067929e+00 3.207346e-02 -6.183700e-01 2.600000e-01 -5 7.095000e+00 35 7.1037530900e+02
-4.613600e+00 2.093600e-02 8.968023e-01 2.600000e-01 11 4.700000e+00 105 7.1037530900e+02
-7.085204e+00 3.215185e-02 -3.713236e-01 2.600000e-01 -3 7.095000e+00 131 7.1037530900e+02
-7.103845e+00 3.223645e-02 -1.239993e-01 2.600000e-01 -1 7.105000e+00 171 7.1037530900e+02
-5.942797e+00 2.696774e-02 1.592384e+00 2.600000e-01 15 6.152500e+00 72 7.1037530900e+02
-1.113197e+00 8.548905e-03 -2.982889e-01 4.400000e-01 -15 1.152500e+00 21 7.1037650700e+02
-7.078713e+00 5.436168e-02 1.235630e-01 4.400000e-01 1 7.080000e+00 171 7.1037650700e+02
-5.045427e+00 3.874686e-02 2.644274e-01 4.400000e-01 3 5.052500e+00 162 7.1037650700e+02
-5.618372e+00 4.314685e-02 4.915584e-01 4.400000e-01 5 5.640000e+00 123 7.1037650700e+02
-6.863254e+00 5.270705e-02 8.427265e-01 4.400000e-01 7 6.915000e+00 132 7.1037650700e+02
-4.422244e+00 3.396106e-02 7.004353e-01 4.400000e-01 9 4.477500e+00 109 7.1037650700e+02
-7.102659e+00 5.454558e-02 -6.214204e-01 4.400000e-01 -5 7.130000e+00 21 7.1037650700e+02
-4.557070e+00 3.499647e-02 8.858308e-01 4.400000e-01 11 4.642500e+00 94 7.1037650700e+02
-7.110033e+00 5.460220e-02 -3.726320e-01 4.400000e-01 -3 7.120000e+00 131 7.1037650700e+02
-6.474498e+00 4.972155e-02 1.494800e+00 4.400000e-01 13 6.645000e+00 78 7.1037650700e+02
-7.123705e+00 5.470720e-02 -1.243484e-01 4.400000e-01 -1 7.125000e+00 171 7.1037650700e+02
-5.954757e+00 4.573015e-02 1.595619e+00 4.400000e-01 15 6.165000e+00 78 7.1037650700e+02
-1.122822e+00 1.224857e-02 -3.008771e-01 6.250000e-01 -15 1.162500e+00 27 7.1037650700e+02
-7.095997e+00 7.740839e-02 1.238685e-01 6.250000e-01 1 7.097500e+00 168 7.1037650700e+02
-5.052765e+00 5.511930e-02 2.648199e-01 6.250000e-01 3 5.060000e+00 164 7.1037650700e+02
-6.823349e+00 7.443414e-02 8.378517e-01 6.250000e-01 7 6.875000e+00 127 7.1037650700e+02
-4.427050e+00 4.829354e-02 7.012175e-01 6.250000e-01 9 4.482500e+00 95 7.1037650700e+02
-7.134820e+00 7.783190e-02 -6.242530e-01 6.250000e-01 -5 7.162500e+00 24 7.1037650700e+02
-4.417060e+00 4.818456e-02 8.586405e-01 6.250000e-01 11 4.500000e+00 89 7.1037650700e+02
